Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
26-03-2020,6:00 PM,Andaman & Nicobar,1,0,0,0,1
27-03-2020,10:00 AM,Andaman & Nicobar,1,0,0,0,1
28-03-2020,6:00 PM,Andaman & Nicobar,6,0,0,0,6
29-03-2020,7:30 PM,Andaman & Nicobar,-,-,0,0,9
30-03-2020,9:30 PM,Andaman & Nicobar,-,-,0,0,9
31-03-2020,8:30 PM,Andaman & Nicobar,-,-,0,0,10
01-04-2020,7:30 PM,Andaman & Nicobar,-,-,0,0,10
02-04-2020,6:00 PM,Andaman & Nicobar,-,-,0,0,10
03-04-2020,6:00 PM,Andaman & Nicobar,-,-,0,0,10
04-04-2020,6:00 PM,Andaman & Nicobar,-,-,0,0,10
05-04-2020,6:00 PM,Andaman & Nicobar,-,-,0,0,10
06-04-2020,6:00 PM,Andaman & Nicobar,-,-,0,0,10
07-04-2020,6:00 PM,Andaman & Nicobar,-,-,0,0,10
08-04-2020,5:00 PM,Andaman & Nicobar,-,-,0,0,10
09-04-2020,5:00 PM,Andaman & Nicobar,-,-,0,0,11
10-04-2020,5:00 PM,Andaman & Nicobar,-,-,0,0,11
11-04-2020,5:00 PM,Andaman & Nicobar,-,-,0,0,11
12-04-2020,5:00 PM,Andaman & Nicobar,-,-,10,0,11
13-04-2020,5:00 PM,Andaman & Nicobar,-,-,10,0,11
14-04-2020,5:00 PM,Andaman & Nicobar,-,-,10,0,11
15-04-2020,5:00 PM,Andaman & Nicobar,-,-,10,0,11
16-04-2020,5:00 PM,Andaman & Nicobar,-,-,10,0,11
17-04-2020,5:00 PM,Andaman & Nicobar,-,-,10,0,11
18-04-2020,5:00 PM,Andaman & Nicobar,-,-,11,0,12
19-04-2020,5:00 PM,Andaman & Nicobar,-,-,11,0,14
20-04-2020,5:00 PM,Andaman & Nicobar,-,-,11,0,15
21-04-2020,5:00 PM,Andaman & Nicobar,-,-,11,0,16
22-04-2020,5:00 PM,Andaman & Nicobar,-,-,11,0,17
23-04-2020,5:00 PM,Andaman & Nicobar,-,-,11,0,18
24-04-2020,5:00 PM,Andaman & Nicobar,-,-,11,0,22
25-04-2020,5:00 PM,Andaman & Nicobar,-,-,11,0,27
26-04-2020,5:00 PM,Andaman & Nicobar,-,-,11,0,33
27-04-2020,5:00 PM,Andaman & Nicobar,-,-,11,0,33
28-04-2020,5:00 PM,Andaman & Nicobar,-,-,11,0,33
29-04-2020,5:00 PM,Andaman & Nicobar,-,-,15,0,33
30-04-2020,5:00 PM,Andaman & Nicobar,-,-,15,0,33
01-05-2020,5:00 PM,Andaman & Nicobar,-,-,16,0,33
02-05-2020,5:00 PM,Andaman & Nicobar,-,-,16,0,33
03-05-2020,5:00 PM,Andaman & Nicobar,-,-,17,0,33
04-05-2020,5:00 PM,Andaman & Nicobar,-,-,32,0,33
05-05-2020,5:00 PM,Andaman & Nicobar,-,-,32,0,33
06-05-2020,8:00 AM,Andaman & Nicobar,-,-,32,0,33
07-05-2020,8:00 AM,Andaman & Nicobar,-,-,32,0,33
08-05-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
09-05-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
10-05-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
11-05-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
12-05-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
13-05-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
14-05-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
15-05-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
16-05-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
17-05-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
18-05-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
19-05-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
20-05-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
21-05-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
22-05-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
23-05-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
24-05-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
25-05-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
26-05-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
27-05-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
28-05-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
29-05-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
30-05-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
31-05-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
01-06-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
02-06-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
03-06-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
04-06-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
05-06-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
06-06-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
07-06-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
08-06-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
09-06-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
10-06-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,33
11-06-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,34
12-06-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,38
13-06-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,38
14-06-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,38
15-06-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,38
16-06-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,41
17-06-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,44
18-06-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,44
19-06-2020,8:00 AM,Andaman & Nicobar,-,-,33,0,44
20-06-2020,8:00 AM,Andaman & Nicobar,-,-,35,0,45
21-06-2020,8:00 AM,Andaman & Nicobar,-,-,36,0,47
22-06-2020,8:00 AM,Andaman & Nicobar,-,-,37,0,48
23-06-2020,8:00 AM,Andaman & Nicobar,-,-,37,0,48
24-06-2020,8:00 AM,Andaman & Nicobar,-,-,40,0,50
25-06-2020,8:00 AM,Andaman & Nicobar,-,-,43,0,56
26-06-2020,8:00 AM,Andaman & Nicobar,-,-,43,0,59
27-06-2020,8:00 AM,Andaman & Nicobar,-,-,43,0,72
28-06-2020,8:00 AM,Andaman & Nicobar,-,-,43,0,72
29-06-2020,8:00 AM,Andaman & Nicobar,-,-,45,0,76
30-06-2020,8:00 AM,Andaman & Nicobar,-,-,46,0,90
01-07-2020,8:00 AM,Andaman & Nicobar,-,-,50,0,97
02-07-2020,8:00 AM,Andaman & Nicobar,-,-,50,0,100
03-07-2020,8:00 AM,Andaman & Nicobar,-,-,51,0,109
04-07-2020,8:00 AM,Andaman & Nicobar,-,-,54,0,116
05-07-2020,8:00 AM,Andaman & Nicobar,-,-,66,0,119
06-07-2020,8:00 AM,Andaman & Nicobar,-,-,72,0,125
07-07-2020,8:00 AM,Andaman & Nicobar,-,-,74,0,141
08-07-2020,8:00 AM,Andaman & Nicobar,-,-,75,0,147
09-07-2020,8:00 AM,Andaman & Nicobar,-,-,77,0,149
10-07-2020,8:00 AM,Andaman & Nicobar,-,-,83,0,151
11-07-2020,8:00 AM,Andaman & Nicobar,-,-,92,0,156
12-07-2020,8:00 AM,Andaman & Nicobar,-,-,93,0,163
13-07-2020,8:00 AM,Andaman & Nicobar,-,-,93,0,163
14-07-2020,8:00 AM,Andaman & Nicobar,-,-,109,0,166
15-07-2020,8:00 AM,Andaman & Nicobar,-,-,109,0,166
16-07-2020,8:00 AM,Andaman & Nicobar,-,-,130,0,176
17-07-2020,8:00 AM,Andaman & Nicobar,-,-,133,0,180
18-07-2020,8:00 AM,Andaman & Nicobar,-,-,142,0,194
19-07-2020,8:00 AM,Andaman & Nicobar,-,-,145,0,198
20-07-2020,8:00 AM,Andaman & Nicobar,-,-,145,0,203
21-07-2020,8:00 AM,Andaman & Nicobar,-,-,152,0,207
22-07-2020,8:00 AM,Andaman & Nicobar,-,-,159,0,212
23-07-2020,8:00 AM,Andaman & Nicobar,-,-,163,0,221
24-07-2020,8:00 AM,Andaman & Nicobar,-,-,170,0,240
25-07-2020,8:00 AM,Andaman & Nicobar,-,-,174,0,259
26-07-2020,8:00 AM,Andaman & Nicobar,-,-,176,0,290
27-07-2020,8:00 AM,Andaman & Nicobar,-,-,182,0,324
28-07-2020,8:00 AM,Andaman & Nicobar,-,-,192,1,338
29-07-2020,8:00 AM,Andaman & Nicobar,-,-,196,1,363
30-07-2020,8:00 AM,Andaman & Nicobar,-,-,201,2,428
31-07-2020,8:00 AM,Andaman & Nicobar,-,-,201,4,471
01-08-2020,8:00 AM,Andaman & Nicobar,-,-,214,5,548
02-08-2020,8:00 AM,Andaman & Nicobar,-,-,226,7,636
03-08-2020,8:00 AM,Andaman & Nicobar,-,-,242,8,734
04-08-2020,8:00 AM,Andaman & Nicobar,-,-,263,10,830
05-08-2020,8:00 AM,Andaman & Nicobar,-,-,277,12,928
06-08-2020,8:00 AM,Andaman & Nicobar,-,-,326,14,1027
07-08-2020,8:00 AM,Andaman & Nicobar,-,-,355,16,1123
08-08-2020,8:00 AM,Andaman & Nicobar,-,-,425,19,1222
09-08-2020,8:00 AM,Andaman & Nicobar,-,-,500,20,1351
10-08-2020,8:00 AM,Andaman & Nicobar,-,-,648,20,1490
11-08-2020,8:00 AM,Andaman & Nicobar,-,-,709,20,1625
12-08-2020,8:00 AM,Andaman & Nicobar,-,-,749,21,1764
13-08-2020,8:00 AM,Andaman & Nicobar,-,-,829,21,1900
14-08-2020,8:00 AM,Andaman & Nicobar,-,-,924,22,2037
15-08-2020,8:00 AM,Andaman & Nicobar,-,-,1032,24,2186
16-08-2020,8:00 AM,Andaman & Nicobar,-,-,1128,24,2306
17-08-2020,8:00 AM,Andaman & Nicobar,-,-,1226,28,2399
18-08-2020,8:00 AM,Andaman & Nicobar,-,-,1325,29,2445
19-08-2020,8:00 AM,Andaman & Nicobar,-,-,1421,30,2529
20-08-2020,8:00 AM,Andaman & Nicobar,-,-,1529,30,2604
21-08-2020,8:00 AM,Andaman & Nicobar,-,-,1638,31,2680
22-08-2020,8:00 AM,Andaman & Nicobar,-,-,1744,32,2747
23-08-2020,8:00 AM,Andaman & Nicobar,-,-,1853,32,2808
24-08-2020,8:00 AM,Andaman & Nicobar,-,-,1963,33,2860
25-08-2020,8:00 AM,Andaman & Nicobar,-,-,2092,35,2904
26-08-2020,8:00 AM,Andaman & Nicobar,-,-,2231,37,2945
27-08-2020,8:00 AM,Andaman & Nicobar,-,-,2309,41,2985
28-08-2020,8:00 AM,Andaman & Nicobar,-,-,2374,42,3018
29-08-2020,8:00 AM,Andaman & Nicobar,-,-,2444,42,3050
30-08-2020,8:00 AM,Andaman & Nicobar,-,-,2519,44,3081
31-08-2020,8:00 AM,Andaman & Nicobar,-,-,2586,45,3104
01-09-2020,8:00 AM,Andaman & Nicobar,-,-,2647,46,3132
02-09-2020,8:00 AM,Andaman & Nicobar,-,-,2714,46,3160
03-09-2020,8:00 AM,Andaman & Nicobar,-,-,2758,47,3186
04-09-2020,8:00 AM,Andaman & Nicobar,-,-,2823,48,3223
05-09-2020,8:00 AM,Andaman & Nicobar,-,-,2863,49,3257
06-09-2020,8:00 AM,Andaman & Nicobar,-,-,2904,50,3292
07-09-2020,8:00 AM,Andaman & Nicobar,-,-,2951,50,3332
08-09-2020,8:00 AM,Andaman & Nicobar,-,-,2997,50,3359
09-09-2020,8:00 AM,Andaman & Nicobar,-,-,3035,50,3392
10-09-2020,8:00 AM,Andaman & Nicobar,-,-,3078,51,3426
11-09-2020,8:00 AM,Andaman & Nicobar,-,-,3121,51,3465
12-09-2020,8:00 AM,Andaman & Nicobar,-,-,3157,51,3494
13-09-2020,8:00 AM,Andaman & Nicobar,-,-,3202,51,3521
14-09-2020,8:00 AM,Andaman & Nicobar,-,-,3243,51,3546
15-09-2020,8:00 AM,Andaman & Nicobar,-,-,3278,52,3557
16-09-2020,8:00 AM,Andaman & Nicobar,-,-,3318,52,3574
17-09-2020,8:00 AM,Andaman & Nicobar,-,-,3345,52,3593
18-09-2020,8:00 AM,Andaman & Nicobar,-,-,3378,52,3604
19-09-2020,8:00 AM,Andaman & Nicobar,-,-,3414,52,3631
20-09-2020,8:00 AM,Andaman & Nicobar,-,-,3436,52,3644
21-09-2020,8:00 AM,Andaman & Nicobar,-,-,3452,52,3651
22-09-2020,8:00 AM,Andaman & Nicobar,-,-,3469,52,3673
23-09-2020,8:00 AM,Andaman & Nicobar,-,-,3479,52,3691
24-09-2020,8:00 AM,Andaman & Nicobar,-,-,3494,52,3712
25-09-2020,8:00 AM,Andaman & Nicobar,-,-,3503,52,3744
26-09-2020,8:00 AM,Andaman & Nicobar,-,-,3528,52,3759
27-09-2020,8:00 AM,Andaman & Nicobar,-,-,3551,52,3774
28-09-2020,8:00 AM,Andaman & Nicobar,-,-,3553,53,3794
29-09-2020,8:00 AM,Andaman & Nicobar,-,-,3582,53,3803
30-09-2020,8:00 AM,Andaman & Nicobar,-,-,3587,53,3821
01-10-2020,8:00 AM,Andaman & Nicobar,-,-,3608,53,3835
02-10-2020,8:00 AM,Andaman & Nicobar,-,-,3623,53,3848
03-10-2020,8:00 AM,Andaman & Nicobar,-,-,3631,53,3858
04-10-2020,8:00 AM,Andaman & Nicobar,-,-,3642,53,3868
05-10-2020,8:00 AM,Andaman & Nicobar,-,-,3649,53,3884
06-10-2020,8:00 AM,Andaman & Nicobar,-,-,3659,54,3899
07-10-2020,8:00 AM,Andaman & Nicobar,-,-,3678,54,3912
08-10-2020,8:00 AM,Andaman & Nicobar,-,-,3696,54,3935
09-10-2020,8:00 AM,Andaman & Nicobar,-,-,3707,55,3952
10-10-2020,8:00 AM,Andaman & Nicobar,-,-,3724,55,3976
11-10-2020,8:00 AM,Andaman & Nicobar,-,-,3744,55,3992
12-10-2020,8:00 AM,Andaman & Nicobar,-,-,3764,55,4005
13-10-2020,8:00 AM,Andaman & Nicobar,-,-,3770,55,4023
14-10-2020,8:00 AM,Andaman & Nicobar,-,-,3782,55,4036
15-10-2020,8:00 AM,Andaman & Nicobar,-,-,3796,55,4046
16-10-2020,8:00 AM,Andaman & Nicobar,-,-,3817,55,4062
17-10-2020,8:00 AM,Andaman & Nicobar,-,-,3831,56,4072
18-10-2020,8:00 AM,Andaman & Nicobar,-,-,3848,56,4083
19-10-2020,8:00 AM,Andaman & Nicobar,-,-,3868,56,4108
20-10-2020,8:00 AM,Andaman & Nicobar,-,-,3892,56,4126
21-10-2020,8:00 AM,Andaman & Nicobar,-,-,3902,56,4141
22-10-2020,8:00 AM,Andaman & Nicobar,-,-,3913,56,4168
23-10-2020,8:00 AM,Andaman & Nicobar,-,-,3937,57,4184
24-10-2020,8:00 AM,Andaman & Nicobar,-,-,3945,58,4207
25-10-2020,8:00 AM,Andaman & Nicobar,-,-,3968,58,4225
